(1253, 119, 6)
(1253, 390, 7)
(1253, 1045, 7)
(1253, 1105, 8)
(1254, 44, 1)
(1254, 345, 9)
(1256, 185, 3)
(1256, 342, 9)
(1257, 265, 3)
(1257, 408, 5)
(1258, 1207, 0)
(1258, 1209, 9)
(1259, 13, 0)
(1261, 617, 1)
(1262, 186, 7)
(1264, 672, 3)
(1265, 436, 3)
(1266, 144, 8)
(1266, 348, 2)
(1267, 203, 8)
(1267, 866, 9)
(1267, 1063, 9)
(1269, 826, 5)
(1269, 1016, 5)
(1269, 1230, 1)
(1270, 571, 5)
(1270, 1035, 5)
(1271, 315, 0)
(1271, 445, 7)
(1272, 1044, 9)
(1274, 815, 2)
(1275, 677, 7)
(1275, 801, 2)
(1277, 201, 5)
(1277, 517, 6)
(1278, 901, 8)
(1279, 470, 9)
(1280, 289, 1)
(1280, 906, 0)
(1281, 651, 4)
(1284, 1061, 3)
(1286, 68, 3)
(1286, 710, 3)
(1286, 1028, 2)
(1287, 308, 6)
(1287, 354, 1)
(1287, 612, 7)
(1287, 1092, 5)
(1289, 800, 0)
(1290, 115, 4)
(1291, 1238, 9)
(1292, 872, 1)
(1293, 190, 2)
(1293, 791, 7)
(1293, 959, 0)
(1294, 95, 3)
(1294, 221, 4)
(1294, 228, 5)
(1295, 272, 3)
(1296, 860, 8)
(1297, 348, 9)
(1297, 466, 3)
(1297, 1098, 1)
(1299, 1026, 8)
(1300, 791, 6)
(1301, 858, 4)
(1301, 999, 6)
(1303, 394, 6)
(1303, 820, 5)
(1303, 921, 0)
(1304, 683, 5)
(1305, 530, 7)
(1305, 907, 3)
(1305, 954, 8)
(1308, 847, 5)
(1309, 126, 3)
(1309, 718, 9)
(1309, 1005, 5)
(1310, 1111, 5)
(1311, 1147, 6)
(1312, 84, 0)
(1313, 108, 2)
(1314, 155, 5)
(1314, 258, 7)
(1315, 86, 9)
(1315, 652, 8)
(1316, 4, 2)
(1316, 586, 9)
(1316, 595, 9)
(1316, 776, 6)
(1316, 1187, 1)
(1317, 635, 2)
(1318, 336, 5)
(1318, 828, 2)
(1318, 1147, 4)
(1319, 253, 6)
(1319, 355, 5)
(1320, 289, 8)
(1320, 379, 7)
(1320, 1119, 6)
(1321, 230, 8)
(1322, 69, 1)
(1322, 1215, 5)
(1326, 310, 4)
(1327, 532, 5)
(1328, 299, 9)
(1328, 1245, 0)
(1330, 115, 6)
(1330, 1057, 7)
(1332, 391, 4)
(1333, 109, 2)
(1335, 504, 1)
(1336, 33, 7)
(1336, 974, 7)
(1337, 206, 2)
(1337, 584, 3)
(1338, 282, 6)
(1338, 1160, 0)
(1340, 148, 7)
(1340, 675, 0)
(1340, 776, 9)
(1341, 390, 9)
(1341, 1041, 3)
(1341, 1076, 2)
(1342, 92, 4)
(1342, 341, 8)
(1343, 1233, 5)
(1344, 483, 0)
(1345, 54, 0)
(1346, 11, 1)
(1346, 596, 3)
(1346, 1078, 3)
(1350, 716, 9)
(1351, 538, 2)
(1353, 348, 1)
(1353, 486, 0)
(1354, 946, 0)
(1357, 36, 3)
(1359, 1073, 1)
(1360, 889, 1)
(1360, 995, 4)
(1361, 75, 9)
(1361, 430, 1)
(1363, 620, 6)
(1364, 1209, 3)
(1366, 395, 3)
(1366, 910, 4)
(1367, 625, 0)
(1367, 718, 4)
(1368, 364, 3)
(1368, 801, 5)
(1369, 439, 8)
(1370, 197, 2)
(1370, 347, 5)
(1371, 184, 8)
(1371, 442, 8)
(1371, 585, 5)
(1371, 590, 3)
(1372, 25, 7)
(1373, 882, 4)
(1374, 643, 6)
(1374, 764, 2)
(1376, 1194, 5)
(1377, 209, 6)
(1378, 177, 4)
(1379, 202, 9)
(1380, 331, 4)
(1384, 190, 0)
(1384, 928, 9)
(1385, 1020, 2)
(1385, 1226, 0)
(1386, 300, 2)
(1386, 692, 2)
(1386, 1248, 9)
(1387, 1093, 2)
(1387, 1245, 1)
(1388, 1185, 6)
(1389, 1245, 5)
(1390, 113, 7)
(1390, 755, 1)
(1391, 318, 4)
(1392, 731, 8)
(1392, 804, 9)
(1393, 424, 2)
(1393, 944, 0)
(1394, 371, 2)
(1394, 517, 2)
(1395, 424, 0)
(1397, 394, 9)
(1398, 926, 8)
(1399, 433, 6)
(1399, 526, 2)
(1400, 850, 7)
(1403, 262, 8)
(1404, 406, 5)
(1404, 574, 4)
(1406, 204, 1)
(1408, 358, 7)
(1408, 1116, 6)
(1408, 1121, 5)
(1409, 268, 6)
(1410, 640, 1)
(1411, 607, 3)
(1412, 800, 4)
(1412, 975, 2)
(1413, 666, 1)
(1413, 1227, 6)
(1414, 574, 2)
(1415, 68, 9)
(1415, 316, 0)
(1415, 647, 0)
(1416, 1015, 3)
(1418, 604, 0)
(1421, 1199, 2)
(1422, 113, 5)
(1422, 334, 2)
(1422, 427, 7)
(1422, 650, 8)
(1423, 232, 3)
(1424, 573, 6)
(1424, 1059, 8)
(1426, 1038, 5)
(1428, 1098, 0)
(1429, 240, 2)
(1429, 298, 0)
(1429, 602, 7)
(1430, 36, 7)
(1430, 754, 6)
(1431, 918, 1)
(1431, 963, 6)
(1431, 1174, 9)
(1433, 207, 2)
(1433, 358, 5)
(1433, 443, 4)
(1435, 394, 3)
(1435, 583, 1)
(1435, 898, 5)
(1436, 330, 7)
(1439, 183, 6)
(1439, 453, 8)
(1441, 753, 6)
(1442, 48, 0)
(1442, 251, 4)
(1442, 751, 4)
(1442, 1127, 0)
(1443, 1188, 9)
(1445, 401, 4)
(1445, 689, 4)
(1446, 358, 2)
(1446, 1052, 4)
(1447, 498, 1)
(1447, 545, 9)
(1447, 603, 9)
(1447, 1106, 6)
(1448, 876, 7)
(1448, 963, 4)
(1449, 201, 5)
(1449, 308, 1)
(1449, 831, 1)
(1452, 80, 6)
(1452, 679, 8)
(1452, 1245, 3)
(1454, 139, 1)
(1455, 90, 1)
(1455, 1152, 8)
(1455, 1203, 5)
(1457, 625, 6)
(1457, 824, 5)
(1457, 963, 0)
(1458, 1014, 6)
(1459, 991,)
(1057, 299, 3)
(1057, 905, 9)
(1059, 271, 1)
(1059, 1092, 4)
(1061, 181, 8)
(1062, 590, 9)
(1062, 745, 6)
(1063, 582, 6)
(1065, 402, 1)
(1067, 99, 8)
(1069, 123, 0)
(1069, 741, 5)
(1070, 426, 0)
(1072, 313, 6)
(1073, 46, 2)
(1073, 997, 7)
(1073, 1105, 7)
(1074, 761, 6)
(1074, 1108, 0)
(1078, 501, 2)
(1078, 1088, 9)
(1080, 455, 3)
(1081, 281, 1)
(1081, 877, 5)
(1083, 780, 3)
(1084, 550, 1)
(1085, 99, 8)
(1085, 441, 3)
(1085, 1205, 1)
(1086, 949, 2)
(1086, 1116, 9)
(1087, 606, 3)
(1088, 1222, 6)
(1094, 121, 3)
(1094, 670, 3)
(1094, 791, 4)
(1095, 50, 2)
(1095, 709, 6)
(1095, 755, 9)
(1096, 531, 9)
(1096, 659, 6)
(1097, 68, 0)
(1097, 315, 9)
(1098, 1119, 1)
(1099, 1053, 6)
(1100, 97, 8)
(1100, 233, 7)
